174.114.107.180 - - [12/Feb/2017:19:15:29 -0500] "GET / HTTP/1.1" 200 3488 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
5.188.211.11 - - [14/Feb/2017:23:11:32 -0500] "GET / HTTP/1.1" 200 7483 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
5.188.211.11 - - [14/Feb/2017:23:11:34 -0500] "GET /%E2%80%9D HTTP/1.1" 404 467 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
69.58.178.59 - - [15/Feb/2017:09:48:14 -0500] "GET /robots.txt HTTP/1.1" 404 474 "-" "Mozilla/5.0 (compatible; ips-agent)"
69.58.178.59 - - [15/Feb/2017:09:48:16 -0500] "GET / HTTP/1.1" 200 7483 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; ips-agent)"
69.58.178.59 - - [15/Feb/2017:09:48:20 -0500] "GET / HTTP/1.1" 200 7483 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; ips-agent)"
5.188.211.11 - - [16/Feb/2017:01:11:08 -0500] "GET / HTTP/1.1" 200 7483 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
5.188.211.11 - - [16/Feb/2017:01:11:09 -0500] "GET /%E2%80%9D HTTP/1.1" 404 467 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
66.249.66.127 - - [16/Feb/2017:05:24:05 -0500] "GET /robots.txt HTTP/1.1" 404 474 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.127 - - [16/Feb/2017:05:24:06 -0500] "GET /vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 6967 "http://www.awncreations.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.125 - - [16/Feb/2017:05:24:07 -0500] "GET /css/freelancer.css HTTP/1.1" 200 2625 "http://www.awncreations.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.123 - - [16/Feb/2017:05:24:07 -0500] "GET /vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 20054 "http://www.awncreations.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.125 - - [16/Feb/2017:05:24:07 -0500] "GET /css/custom.css HTTP/1.1" 200 428 "http://www.awncreations.com/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.127 - - [16/Feb/2017:06:21:47 -0500] "GET / HTTP/1.1" 200 2904 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.105 - - [17/Feb/2017:15:40:31 -0500] "GET /robots.txt HTTP/1.1" 404 474 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.105 - - [17/Feb/2017:15:40:31 -0500] "GET / HTTP/1.1" 200 2904 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
52.25.122.161 - - [18/Feb/2017:13:16:07 -0500] "GET / HTTP/1.1" 200 7483 "-" "Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.0; InfoPath.1; SV1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 3.0.04506.30)"
66.249.64.177 - - [02/Mar/2017:08:40:44 -0500] "GET /robots.txt HTTP/1.1" 404 474 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
